State / Union Territory,Year,Rice,Wheat,Coarse Cereals,Pulses,Food Grains,Oilseeds,Cotton(Lint),Sugarcane,Raw Jute & Mesta
CHHATTISGARH,2011-12,6028.4,133.1,209.9,499.1,6870.5,169.5,,24.4,3
CHHATTISGARH,2010-11,6159,126.8,231.9,537.5,7055.2,217.2,,21.8,3.2
GOA,2016-17,,,,,,,,,
GOA,2015-16,,,,,,,,,
GOA,2014-15,,,,,,,,,
GOA,2013-14,126.5,,0,8.9,135.5,6.6,,47.7,
GOA,2012-13,122.8,,0.1,9,131.8,7.5,,46,
GOA,2011-12,121.8,,0.1,8.3,130.2,8,,46.6,
GOA,2010-11,115,,0.1,8,123.1,8.3,,49.1,
GUJARAT,2016-17,1930,2743,1929,818,7420,4781.3,8220,11950,
GUJARAT,2015-16,1702,2484,1549.7,543.6,6279.3,4179.1,9400,11120,
GUJARAT,2014-15,1637,3220,1547.9,581,6985.9,3983.6,11089,14060,
GUJARAT,2013-14,1636,4694,2120.6,729,9179.6,6870.4,10150,12550,
GUJARAT,2012-13,1541,2944,1999,572.2,7056.2,2705,8850,12690,
GUJARAT,2011-12,1790,4072,2232.3,780,8874.3,5035,12000,12750,
GUJARAT,2010-11,1496.6,4019.5,2102.6,723,8341.6,4896.1,10400,13760,
HARYANA,2016-17,4453,11524.2,1106,74.1,17157.4,923.2,2041,8640,
HARYANA,2015-16,4145,11352,796,65.6,16358.6,829.7,993,6692,
HARYANA,2014-15,4006,11856,826,59.5,16747.5,723.3,2300,7650,
HARYANA,2013-14,3998,11800,1051,125.1,16974.1,899,2302,7499,
HARYANA,2012-13,3976,11117,1003,130.4,16226.4,993.1,2500,7437,
HARYANA,2011-12,3759,12685.7,1387,127,17958.7,771,2650,6959,
HARYANA,2010-11,3472,11630,1369,158.5,16629.5,963.8,1750,6042,
HIMACHAL PRADESH,2016-17,146.6,704.2,826.4,63.3,1740.6,6.2,,21.1,
HIMACHAL PRADESH,2015-16,129.9,667.6,777,40.6,1615.1,6.5,,38.7,
HIMACHAL PRADESH,2014-15,119.2,720.9,791.7,42,1673.7,8.2,,21.9,
HIMACHAL PRADESH,2013-14,120.8,670.7,685.9,51,1528.4,6.1,,35.7,
HIMACHAL PRADESH,2012-13,125.3,608.6,700.8,46.1,1480.7,6.9,,42,
HIMACHAL PRADESH,2011-12,131.6,595.8,752.1,30.8,1510.3,8.6,,28.3,
HIMACHAL PRADESH,2010-11,128.9,546.5,704.1,41.6,1421.1,7.7,,38.3,
JAMMU & KASHMIR,2016-17,619.9,473,508.9,8.1,1609.9,43.1,,,
JAMMU & KASHMIR,2015-16,646.4,541.5,535.4,9.4,1732.7,32.6,,,
JAMMU & KASHMIR,2014-15,454.8,349.2,476.8,7.8,1288.5,44.3,,,
JAMMU & KASHMIR,2013-14,610.9,601.9,551.3,13.8,1777.9,58.8,,0,
JAMMU & KASHMIR,2012-13,818.1,462.4,537.3,14.2,1831.9,51.1,,0,
JAMMU & KASHMIR,2011-12,544.7,500.3,528.1,13.2,1586.3,53.4,,0,
JAMMU & KASHMIR,2010-11,507.7,446.3,550.9,16.7,1521.6,53,,0,
JHARKHAND,2016-17,3556.2,428.7,611.7,771.8,5368.3,259.5,,512.9,0
JHARKHAND,2015-16,2882.2,287.3,395.5,527,4092.1,176.5,,708.9,0
JHARKHAND,2014-15,3319.7,330.4,487.7,597.1,4734.9,174.5,,469.8,0
JHARKHAND,2013-14,2810.6,370.4,526.1,578.6,4285.7,182.9,,462.8,0
JHARKHAND,2012-13,3164.9,319.5,463.8,609.3,4557.5,197.2,,461.9,0
JHARKHAND,2011-12,3130.6,302.6,330.1,412,4175.3,155.5,,457.3,0
JHARKHAND,2010-11,1110,158.4,278.5,329.6,1876.6,113.7,,457.3,
KARNATAKA,2016-17,2536.8,168,5219.1,1715.2,9639.1,791.2,1435,23541,
KARNATAKA,2015-16,3021,156,5608.2,1138.8,9924,749.7,2000,37833.8,
KARNATAKA,2014-15,3663.7,215,6681.3,1488,12048,1052,2200,41895,0
KARNATAKA,2013-14,3572.6,210,6825.8,1600.5,12208.9,1162,1875,37905,
KARNATAKA,2012-13,3364,179,6061,1259.3,10863.3,919.6,1255,35732,0
KARNATAKA,2011-12,3955,193,6813,1134.1,12095.1,942,1200,38808,1
KARNATAKA,2010-11,4188,279,7845.3,1565,13877.3,1270,1200,39657,1
KERALA,2016-17,448.4,,0.2,1.7,450.3,0.6,,140.4,
KERALA,2015-16,549.3,,0.3,4.3,553.8,0.7,,138.1,
KERALA,2014-15,558.3,,0.3,1.4,560,0.7,,150.7,
KERALA,2013-14,509.2,,0.3,2.8,512.4,1,,221.5,
KERALA,2012-13,508.3,,0.3,3.2,511.8,1.1,,165.7,
KERALA,2011-12,569,,0.6,2.5,572.1,2.4,,263,
KERALA,2010-11,522.7,,1.4,3,527.1,2.1,,271.8,
MADHYA PRADESH,2016-17,4226.8,17939.3,4567.5,6249.4,32983,8681.2,2520,4730,7
MADHYA PRADESH,2015-16,3546.7,17688.7,3848.8,5302.4,30386.5,6171,1800,5281,6
MADHYA PRADESH,2014-15,3625.3,14181.9,2977.3,4704.9,25489.4,7724.3,1750,4567,4
MADHYA PRADESH,2013-14,2844.8,12937,2551.8,4644.3,22978,6634.9,1730,3173.7,2.5
MADHYA PRADESH,2012-13,2775,13133.4,2616.2,5165.9,23690.4,9276,2200,2641.9,1.8
MADHYA PRADESH,2011-12,2227.3,11538.5,2467.1,4161.9,20394.8,7727.8,2000,2677,2.1
MADHYA PRADESH,2010-11,1772.1,7627.1,2166.6,3386.2,14952.1,8035.4,2000,2667,3.4
MAHARASHTRA,2016-17,3347.9,1671.7,6959.8,3806.8,15786.2,5261.2,10615,50644,
MAHARASHTRA,2015-16,2593,981,3635.7,1544.7,8754.4,2436.1,7500,73679.6,
MAHARASHTRA,2014-15,2926,1236,4434.2,1737.5,10333.7,2833.2,7019,81870.2,0
MAHARASHTRA,2013-14,3120,1602,5955.2,3169,13846.2,5293.9,8834,76901,35
MAHARASHTRA,2012-13,3057,1181,4429.3,2306,10973.3,5086.8,7655,69648.1,31
MAHARASHTRA,2011-12,2841,1313,6122,2268,12544,4485,7200,86733.1,19
MAHARASHTRA,2010-11,2696,2301,7323.6,3099.8,15420.4,5040,8500,81895.7,28
MANIPUR,2016-17,,,,,,,,,
MANIPUR,2015-16,,,,,,,,,
MANIPUR,2014-15,,,,,,,,,
MANIPUR,2013-14,398.5,5.6,58.6,27.9,490.6,31,,339.3,
MANIPUR,2012-13,257.6,6,44.7,28.4,336.7,32.1,,311.7,
MANIPUR,2011-12,591,,45.9,26.9,669.1,28.3,,333,
MANIPUR,2010-11,521.7,,41.5,24.2,592.7,26.7,,301.3,
MEGHALAYA,2016-17,,,,,,,,,
MEGHALAYA,2015-16,,,,,,,,,
MEGHALAYA,2014-15,,,,,,,,,
MEGHALAYA,2013-14,273.9,0.8,42.1,3.2,320,14.1,,0.3,89.9
MEGHALAYA,2012-13,232,0.7,28.7,3.7,265,6.9,,0.2,53.2
MEGHALAYA,2011-12,216.5,0.6,28.3,3.7,249.1,7.6,,0.2,50.4
MEGHALAYA,2010-11,207,0.7,27.6,3.7,239,7.1,,0.2,52.6
MIZORAM,2016-17,,,,,,,,,
MIZORAM,2015-16,,,,,,,,,
MIZORAM,2014-15,,,,,,,,,
MIZORAM,2013-14,59,,8.2,5.7,72.8,2.4,,7,
MIZORAM,2012-13,30.5,,8,3.3,41.8,2.2,,6.8,
MIZORAM,2011-12,54.3,,8.4,5.3,68,2.4,,7.5,
MIZORAM,2010-11,47.2,,13.6,6.1,66.9,3.8,,7.9,
NAGALAND,2016-17,,,,,,,,,
NAGALAND,2015-16,,,,,,,,,
NAGALAND,2014-15,,,,,,,,,
NAGALAND,2013-14,429.6,5.5,147,42.5,624.6,67.9,,188.5,7.8
NAGALAND,2012-13,405.2,5.9,145.9,22.1,579.1,67.5,,187.6,7.7
NAGALAND,2011-12,382.4,5.4,144,34.7,566.5,66.8,,186.7,8.5
NAGALAND,2010-11,381.4,5.3,145.2,36.4,568.3,66.3,,184.9,8.4
ORISSA,2016-17,8381.8,0.5,277.8,398.8,9058.8,120.1,382,814.7,50.4
ORISSA,2015-16,5875.4,0.5,157.2,375.1,6408.2,120.1,300,577.2,56.8
ORISSA,2014-15,8286.1,1,242.6,440.3,8970,146.5,400,722.9,67.8
ORISSA,2013-14,7613.4,1.1,325.7,419.3,8359.4,168.8,299,936.5,82.3
ORISSA,2012-13,7295.5,2,287,424.4,8008.8,170.3,400,952.4,83.8
ORISSA,2011-12,5807,2.4,259.4,343.4,6412.3,165.8,325,884.7,101.2
ORISSA,2010-11,6827.7,4.2,360.5,426.9,7619.3,179.8,250,902.7,113.5
PUNJAB,2016-17,11034.5,16440.5,480.5,37.3,27992.8,57.5,1267,7252,
PUNJAB,2015-16,11823,16077,457.3,43.5,28400.8,56.8,750,6607,
PUNJAB,2014-15,11107,15783.5,498,72.9,27461.4,78.7,1600,7039,
PUNJAB,2013-14,11267,17620,553.8,39.6,29480.4,64.2,1968,6675,
PUNJAB,2012-13,11374,16591,525,53,28543,69.4,2000,5919,
PUNJAB,2011-12,10542,17280.1,552,15,28389.1,68,2300,5653,
PUNJAB,2010-11,10837,16472,538,19.3,27866.3,71.5,2100,4170,
RAJASTHAN,2016-17,452.7,8998,6776.9,3057.4,19284.9,6314.7,1610,488.7,
RAJASTHAN,2015-16,369.8,9871,5808.9,1990.2,18039.9,5692.5,1214,531.3,
RAJASTHAN,2014-15,366.7,9868.7,7565.9,1950.4,19751.7,5318.5,1600,408.9,
RAJASTHAN,2013-14,312.6,8663.2,6432.9,2490.9,17899.6,6033.8,1287,362.9,
RAJASTHAN,2012-13,222.5,9275.5,6912.9,1956.8,18367.7,6364.6,1400,401.8,
RAJASTHAN,2011-12,253.4,9319.6,7464.7,2432.1,19469.7,5744.5,1335,451.3,
RAJASTHAN,2010-11,265.5,7214.5,8092.5,3259.7,18832.2,6604.8,900,367.9,
SIKKIM,2016-17,,,,,,,,,
SIKKIM,2015-16,,,,,,,,,
SIKKIM,2014-15,,,,,,,,,
SIKKIM,2013-14,20.3,0.4,75.9,5.8,102.4,7.1,,,
SIKKIM,2012-13,21.3,0.6,78.3,5.8,106,7.1,,,
SIKKIM,2011-12,20.9,2.7,73.8,5.9,103.2,7.8,,,
SIKKIM,2010-11,21,2.7,74.8,11.9,110.3,7.9,,,
TAMIL NADU,2016-17,4037.9,,1745.1,438.9,6221.9,617.8,350,17217.9,
TAMIL NADU,2015-16,7517.1,,3406.6,554.8,11478.5,932.2,369,25494.1,
TAMIL NADU,2014-15,5839,,2974,647.2,9460.2,961.1,786,24462.8,4.6
TAMIL NADU,2013-14,5349.8,,2819.7,613.8,8783.2,964.2,408,32454.1,
TAMIL NADU,2012-13,4049.9,,1333,209.9,5592.8,816.9,500,33919.2,
TAMIL NADU,2011-12,7458.7,,2323.8,369.3,10151.8,1113.7,450,38575.7,
TAMIL NADU,2010-11,5792.4,,1556.5,246,7594.9,933.1,450,34251.8,
TRIPURA,2016-17,,,,,,,,,
TRIPURA,2015-16,,,,,,,,,
TRIPURA,2014-15,,,,,,,,,
TRIPURA,2013-14,711.8,0.3,5.9,8.7,726.7,4.6,,49.6,12.4
TRIPURA,2012-13,713.2,1.3,4.7,6,725.2,2.4,,45.4,10.3
TRIPURA,2011-12,718.3,0.5,5.1,6,729.9,3.5,,45,10.7
TRIPURA,2010-11,702.5,0.6,4.1,5.2,712.4,3.4,,46.5,10.7
UTTARAKHAND,2016-17,631,877,309,54,1871,26,,6477,
UTTARAKHAND,2015-16,639.1,639.1,282.8,51.6,1745.9,35.6,,5885.8,
UTTARAKHAND,2014-15,606,662,317,52.7,1637.7,28.5,,6135,
UTTARAKHAND,2013-14,578.6,842.4,298.9,55.6,1776.5,34.1,,5939.8,
UTTARAKHAND,2012-13,579.8,858.2,338.4,51.3,1827.7,39.7,,6784.8,
UTTARAKHAND,2011-12,594,878,331,49,1852,32.5,,6311,
UTTARAKHAND,2010-11,550.4,878,335,52.1,1815.5,27.5,,6497.6,
UTTAR PRADESH,2016-17,12954.7,30057.9,3946,2186.1,49144.6,1063,,144782.6,
UTTAR PRADESH,2015-16,12501,25425.2,3460,1164.6,42550.8,864.5,,145385,
UTTAR PRADESH,2014-15,12221.4,25219.5,3583.7,1447.2,42471.8,787.4,,138480.8,
UTTAR PRADESH,2013-14,14636,29890.9,3803.2,1697.4,50027.5,895.8,,134688.6,
UTTAR PRADESH,2012-13,14416,30301.9,3695.5,2332,50745.4,1030.5,,132427.7,
UTTAR PRADESH,2011-12,14022,30292.6,3566,2403,50283.6,935,,128819,
UTTAR PRADESH,2010-11,11992,30001,3217.6,2037,47247.6,919.4,,120545,
WEST BENGAL,2016-17,15090.8,930,723.6,311.3,17055.6,924.6,,2076,7856
WEST BENGAL,2015-16,15953.9,960,732.7,358.6,18005.2,926.9,,2075,7776.8
WEST BENGAL,2014-15,14711.2,950,670.8,175.6,16507.8,930.3,,1950,8920.8
WEST BENGAL,2013-14,15370.7,927.8,538.6,241.7,17078.9,909.9,,1945,8882.4
WEST BENGAL,2012-13,15023.7,895.9,434.6,192.3,16546.5,850.7,,1617,8310.8
WEST BENGAL,2011-12,14605.8,872.9,376.4,130.6,15985.7,672.4,,1681.4,8623
WEST BENGAL,2010-11,13045.9,874.4,370.4,176.1,14466.9,703.6,,1134.1,8214.2
